,cik,Ticker,fy,fp,date,filed,ddate,Assets,AssetsCurrent,Cash,AssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,Equity,HolderEquity,RetainedEarnings,AdditionalPaidInCapital,TreasuryStockValue,TemporaryEquity,RedeemableEquity,LiabilitiesAndEquity,n_cik_bs,Revenues,CostOfRevenue,GrossProfit,OperatingExpenses,OperatingIncomeLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxExpenseBenefit,AllIncomeTaxExpenseBenefit,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,ProfitLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLoss,n_cik_is,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,EffectOfExchangeRateFinal,CashPeriodIncreaseDecreaseIncludingExRateEffectFinal,n_cik,sic,stprba,countryinc,afs,nciks
78,1800,ABBOTT LABORATORIES,2015,Q1,2015-03-31,20150506,20150331,43095000000,19985000000,3226000000,23110000000,21107000000,9206000000,11901000000,21988000000,21988000000,24740000000,0,-9721000000,0,0,43095000000,60,4897000000,2081000000,2816000000,2206000000,610000000,653000000,-124000000,777000000,1763000000,2292000000,0,2292000000,60,2000000,-550000000,-205000000,2000000,-550000000,-205000000,0,0,0,-84000000,-837000000,60,2834,IL,US,1-LAF,1
79,1800,ABBOTT LABORATORIES,2015,Q2,2015-06-30,20150804,20150630,44125000000,21131000000,4048000000,22994000000,20999000000,9185000000,11814000000,23126000000,23126000000,25162000000,0,-9716000000,0,0,44125000000,60,10067000000,4299000000,5768000000,4429000000,1339000000,1639000000,-324000000,1963000000,1761000000,3076000000,0,3076000000,60,943000000,-924000000,37000000,943000000,-924000000,37000000,0,0,0,-71000000,-15000000,60,2834,IL,US,1-LAF,1
80,1800,ABBOTT LABORATORIES,2015,Q3,2015-09-30,20151105,20150930,41725000000,15894000000,3132000000,25831000000,20506000000,8755000000,11751000000,21219000000,21219000000,25375000000,0,-9694000000,0,0,41725000000,60,15217000000,6541000000,8676000000,6624000000,2052000000,2353000000,-442000000,2795000000,1745000000,3656000000,0,3656000000,60,2138000000,-1739000000,-1160000000,2138000000,-1739000000,-1160000000,0,0,0,-170000000,-931000000,60,2834,IL,US,1-LAF,1
81,1800,ABBOTT LABORATORIES,2015,FY,2015-12-31,20160219,20151231,41247000000,14155000000,5001000000,27092000000,19921000000,9186000000,10735000000,21326000000,21326000000,25757000000,0,-10622000000,0,0,41247000000,60,20405000000,8747000000,11658000000,8791000000,2867000000,3183000000,-577000000,3760000000,1817000000,4423000000,0,4423000000,60,2966000000,-2236000000,406000000,2966000000,-2236000000,406000000,0,0,0,-198000000,938000000,60,2834,IL,US,1-LAF,1
82,1800,ABBOTT LABORATORIES,2016,Q1,2016-03-31,20160504,20160331,39637000000,12406000000,3334000000,27231000000,18795000000,8393000000,10402000000,20842000000,20842000000,25654000000,0,-10825000000,0,0,39637000000,60,4885000000,2140000000,2745000000,2221000000,524000000,2000000,54000000,-52000000,260000000,316000000,0,316000000,60,-93000000,-1432000000,226000000,-93000000,-1432000000,226000000,0,0,0,-368000000,-1667000000,60,2834,IL,US,1-LAF,1
83,1800,ABBOTT LABORATORIES,2016,Q2,2016-06-30,20160803,20160630,39831000000,12988000000,2578000000,26843000000,19036000000,8673000000,10363000000,20795000000,20795000000,25884000000,0,-10821000000,0,0,39831000000,60,10218000000,4427000000,5791000000,4451000000,1340000000,717000000,-62000000,779000000,276000000,931000000,0,931000000,60,816000000,-1611000000,-1244000000,816000000,-1611000000,-1244000000,0,0,0,-384000000,-2423000000,60,2834,IL,US,1-LAF,1
84,1800,ABBOTT LABORATORIES,2016,Q3,2016-09-30,20161103,20160930,39497000000,12978000000,2500000000,26519000000,18601000000,8321000000,10220000000,20896000000,20896000000,25162000000,0,-10792000000,0,0,39497000000,60,15520000000,6712000000,8808000000,6571000000,2237000000,538000000,240000000,298000000,304000000,602000000,0,602000000,60,2033000000,-2357000000,-1798000000,2033000000,-2357000000,-1798000000,0,0,0,-379000000,-2501000000,60,2834,IL,US,1-LAF,1
85,1800,ABBOTT LABORATORIES,2016,FY,2016-12-31,20170217,20161231,52666000000,26776000000,18620000000,25890000000,31949000000,6660000000,25230000000,20717000000,20717000000,25565000000,0,0,0,0,52666000000,60,20853000000,9024000000,11829000000,8644000000,3185000000,1413000000,350000000,1063000000,337000000,1400000000,0,1400000000,60,3203000000,11147000000,-248000000,3203000000,11147000000,-248000000,0,0,0,-483000000,13619000000,60,2834,IL,US,1-LAF,1
86,1800,ABBOTT LABORATORIES,2017,Q1,2017-03-31,20170503,20170331,70887000000,19329000000,8706000000,51558000000,39340000000,6646000000,23764000000,31547000000,31547000000,25387000000,0,0,0,0,70887000000,60,6335000000,3044000000,3291000000,3493000000,-202000000,736000000,350000000,386000000,33000000,419000000,0,419000000,60,574000000,-4399000000,-6154000000,574000000,-4399000000,-6154000000,0,0,0,65000000,-9914000000,60,2834,IL,US,1-LAF,1
87,1800,ABBOTT LABORATORIES,2017,Q2,2017-06-30,20170802,20170630,71151000000,19983000000,9675000000,51168000000,39363000000,6803000000,23810000000,31788000000,31788000000,25202000000,0,0,0,0,71151000000,60,12972000000,6217000000,6755000000,6530000000,225000000,1031000000,375000000,656000000,46000000,702000000,0,702000000,60,1925000000,-4783000000,-6160000000,1925000000,-4783000000,-6160000000,0,0,0,73000000,-8945000000,60,2834,IL,US,1-LAF,1
